V3,V9
0.675,0.9604545
1.005,0.9340909
1.005,0.9745455
1.49,0.9722727
1.685,0.9454545
1.925,0.935
1.995,0.9677273
2.79,0.9631818
3.885,0.9586364
4.79,0.9777273
7.275,0.9363636
11.98,0.9695455
